"","DATE","Value","forecast","ForecastValue","ActualValue"
"1",2018-06-30,62894.8652825784,FALSE,NA,62894.8652825784
"2",2018-09-30,60636.1272553841,FALSE,NA,60636.1272553841
"3",2018-12-31,58826.7683764716,FALSE,NA,58826.7683764716
"4",2019-03-30,58308.0754541297,FALSE,NA,58308.0754541297
"5",2019-06-30,55972.1966896614,FALSE,NA,55972.1966896614
"6",2019-09-30,54809.0244589548,FALSE,NA,54809.0244589548
"7",2019-12-31,53524.8036283738,FALSE,NA,53524.8036283738
"8",2020-03-31,51190.5721674339,FALSE,NA,51190.5721674339
"9",2020-06-30,49518.530293843,TRUE,49518.530293843,NA
"10",2020-09-30,47846.4884202521,TRUE,47846.4884202521,NA
"11",2020-12-31,46174.4465466612,TRUE,46174.4465466612,NA
"12",2021-03-31,44502.4046730703,TRUE,44502.4046730703,NA
